parent_taxon_id,taxon_id,rank_level,leaf_class_id,name
,-1,70,2101,background
,47126,70,,Plantae
47126,211194,60,,Tracheophyta
211194,47125,57,,Angiospermae
47125,47124,50,,Magnoliopsida
47124,47853,40,,Fagales
47853,49155,30,,Betulaceae
49155,49156,20,,Betula
49156,49157,10,0,Betula lenta
49156,49882,10,168,Betula alleghaniensis
49156,49884,10,170,Betula populifolia
49156,83992,10,450,Betula pendula
49156,117429,10,608,Betula nigra
49156,49883,10,1087,Betula papyrifera
49155,53352,20,,Alnus
53352,75377,10,350,Alnus incana
53352,966205,10,1246,Alnus glutinosa
53352,56034,10,1746,Alnus rubra
53352,53351,10,1892,Alnus rhombifolia
49155,53373,20,,Corylus
53373,53374,10,1045,Corylus cornuta
53374,53368,5,1042,Corylus cornuta californica
53373,54491,10,1325,Corylus avellana
53373,54770,10,1912,Corylus americana
49155,54769,20,,Carpinus
54769,54768,10,1394,Carpinus caroliniana
54769,55801,10,1665,Carpinus betulus
49155,54772,20,,Ostrya
54772,54771,10,1604,Ostrya virginiana
47853,47852,30,,Fagaceae
47852,49187,20,,Castanea
49187,49186,10,8,Castanea dentata
49187,121763,10,1801,Castanea sativa
47852,49203,20,,Fagus
49203,49202,10,13,Fagus grandifolia
49203,54227,10,1247,Fagus sylvatica
47852,47851,20,,Quercus
47851,861029,15,,Quercus
861029,861036,13,,Lobatae
861036,47850,10,70,Quercus agrifolia
861036,49919,10,182,Quercus kelloggii
861036,51089,10,416,Quercus wislizeni
861036,130737,10,490,Quercus ilicifolia
861036,61324,10,957,Quercus falcata
861036,53640,10,1110,Quercus nigra
861036,119983,10,1309,Quercus phellos
861036,54785,10,1404,Quercus palustris
861036,82329,10,1667,Quercus marilandica
861036,49005,10,2057,Quercus rubra
861036,49006,10,2058,Quercus velutina
861029,861033,13,,Quercus
861033,56133,10,211,Quercus robur
861033,54783,10,230,Quercus muehlenbergii
861033,116377,10,365,Quercus gambelii
861033,119273,10,655,Quercus michauxii
861033,68632,10,700,Quercus garryana
861033,119269,10,1133,Quercus stellata
861033,49011,10,1364,Quercus lobata
861033,54779,10,1399,Quercus alba
861033,54780,10,1400,Quercus bicolor
861033,54781,10,1401,Quercus macrocarpa
861033,128686,10,1460,Quercus montana
861033,56796,10,1936,Quercus durata
861033,49009,10,2059,Quercus douglasii
861029,861037,13,,Protobalanus
861037,51092,10,417,Quercus chrysolepis
861029,861035,13,,Virentes
861035,167647,10,903,Quercus fusiformis
861035,49013,10,2061,Quercus virginiana
47851,861028,15,,Cerris
861028,861032,13,,Ilex
861032,1137754,11,,Quercus ilex
1137754,78805,10,1480,Quercus ilex
47852,53364,20,,Chrysolepis
53364,53363,10,1040,Chrysolepis chrysophylla
53364,53386,10,1048,Chrysolepis sempervirens
47852,69822,20,,Notholithocarpus
69822,69823,10,1064,Notholithocarpus densiflorus
47853,70248,30,,Nothofagaceae
70248,70249,20,,Nothofagus
70249,492287,15,,Fuscospora
492287,404204,10,277,Nothofagus cliffortioides
492287,70246,10,1489,Nothofagus solandri
47853,54497,30,,Juglandaceae
54497,54788,20,,Carya
54788,67593,10,449,Carya illinoinensis
54788,54787,10,1405,Carya cordiformis
54788,54791,10,1406,Carya ovata
54788,54789,10,1776,Carya glabra
54497,54495,20,,Juglans
54495,54502,10,1328,Juglans hindsii
54495,54503,10,1329,Juglans californica
54495,54504,10,1330,Juglans nigra
54495,54792,10,1407,Juglans cinerea
54495,63935,10,1712,Juglans regia
47853,49035,30,,Myricaceae
49035,61040,20,,Morella
61040,64544,10,494,Morella pensylvanica
61040,61039,10,873,Morella californica
61040,119956,10,1297,Morella cerifera
49035,121032,20,,Comptonia
121032,121031,10,1420,Comptonia peregrina
47124,47132,40,,Rosales
47132,51885,30,,Urticaceae
51885,51886,20,,Urtica
51886,51884,10,1,Urtica dioica
51886,53315,10,1024,Urtica urens
51886,129506,10,1659,Urtica ferox
51885,119803,20,,Laportea
119803,119802,10,1256,Laportea canadensis
51885,69177,20,,Pilea
69177,125482,10,1881,Pilea pumila
51885,57282,20,,Parietaria
57282,57281,10,1984,Parietaria judaica
51885,72013,20,,Boehmeria
72013,75832,10,2090,Boehmeria cylindrica
47132,47148,30,,Rosaceae
47148,415343,27,,Rosoideae
415343,922105,25,,Colurieae
922105,55751,20,,Geum
55751,57460,10,23,Geum triflorum
55751,85325,10,775,Geum canadense
55751,77266,10,1190,Geum macrophyllum
55751,55750,10,1647,Geum rivale
55751,55891,10,1859,Geum urbanum
922105,72134,20,,Fallugia
72134,77132,10,774,Fallugia paradoxa
415343,922171,25,,Rubeae
922171,47544,20,,Rubus
47544,82110,10,41,Rubus allegheniensis
47544,197048,10,87,Rubus cissoides
47544,84227,10,511,Rubus phoenicolasius
47544,51646,10,542,Rubus parviflorus
47544,125489,10,574,Rubus occidentalis
47544,55911,11,,Rubus fruticosus
55911,61317,10,954,Rubus armeniacus
55911,78891,10,1276,Rubus laciniatus
55911,1090496,10,1975,Rubus fruticosus
47544,69714,10,1031,Rubus trivialis
47544,53445,10,1069,Rubus ursinus
47544,62377,10,1238,Rubus odoratus
47544,54436,10,1303,Rubus idaeus
47544,47543,10,1699,Rubus spectabilis
415343,885411,25,,Potentilleae
885411,975960,24,,Potentillinae
975960,156879,20,,Argentina
156879,158615,10,54,Argentina anserina
156879,524900,10,890,Argentina pacifica
975960,53186,20,,Potentilla
53186,62211,10,1197,Potentilla recta
53186,78728,10,1229,Potentilla gracilis
53186,243824,10,1558,Potentilla indica
53186,55732,10,1639,Potentilla norvegica
53186,82097,10,2009,Potentilla simplex
885411,975959,24,,Fragariinae
975959,50299,20,,Fragaria
50299,50298,10,255,Fragaria vesca
50299,77155,10,781,Fragaria virginiana
50299,55367,10,1545,Fragaria chiloensis
975959,72087,20,,Dasiphora
72087,76606,10,640,Dasiphora fruticosa
975959,72104,20,,Drymocallis
72104,76716,10,668,Drymocallis glandulosa
975959,62215,20,,Comarum
62215,62213,10,1198,Comarum palustre
975959,81596,20,,Sibbaldiopsis
81596,81595,10,1554,Sibbaldiopsis tridentata
415343,922173,25,,Roseae
922173,53438,20,,Rosa
53438,82302,10,71,Rosa palustris
53438,78882,10,302,Rosa multiflora
53438,83653,10,380,Rosa rugosa
53438,53441,10,1066,Rosa gymnocarpa
53438,78883,10,1272,Rosa nutkana
53438,1150845,11,,Rosa rubiginosa sensu lato
1150845,78886,10,1274,Rosa rubiginosa
53438,78887,10,1275,Rosa woodsii
53438,1125370,11,,Rosa canina sensu lato
1125370,55884,10,1700,Rosa canina
53438,53437,10,1863,Rosa californica
415343,922172,25,,Ulmarieae
922172,62021,20,,Filipendula
62021,63134,10,408,Filipendula ulmaria
415343,915546,25,,Agrimonieae
915546,922106,24,,Sanguisorbinae
922106,55737,20,,Sanguisorba
55737,1081743,15,,Poterium
1081743,55736,10,1642,Sanguisorba minor
47148,922110,27,,Amygdaloideae
922110,723302,25,,Maleae
723302,48582,20,,Sorbus
48582,56063,10,105,Sorbus aucuparia
48582,54265,10,1515,Sorbus americana
723302,49230,20,,Amelanchier
49230,75415,10,363,Amelanchier alnifolia
723302,72119,20,,Eriobotrya
72119,76949,10,736,Eriobotrya japonica
723302,51148,20,,Crataegus
51148,51147,10,898,Crataegus monogyna
723302,58736,20,,Pyrus
58736,119793,10,1508,Pyrus calleryana
